"subject","item","frequency","length","logrt","rt"
"1",1,109,8,6.80936171061336,906.29214563278
"1",2,190,5,6.36921389853558,583.598880590294
"1",3,216,9,6.3041273363285,546.82418630745
"1",4,118,6,6.99554475502858,1091.75825656845
"1",5,204,9,6.41034342031892,608.102479954135
"1",6,201,7,6.35400493377323,574.790101781118
"1",7,153,10,6.71543442896988,825.042111248768
"1",8,207,8,6.5122751257148,673.356647221966
"1",9,114,10,6.86495652250129,958.104182924706
"1",10,199,7,6.34718263379136,570.882057363757
"1",11,149,10,6.8557303903746,949.305239663326
"1",12,106,11,6.99439495273072,1090.50367181677
"1",13,270,6,6.03268044435371,416.83082513139
"1",14,226,8,6.40985021496812,607.802634505955
"1",15,256,9,6.13913491516078,463.652298742775
"1",16,187,9,6.32480897725637,558.251164809997
"1",17,227,8,6.3019722611102,545.647007964311
"1",18,222,2,6.44391887545522,628.866426381523
"1",19,338,5,6.09379661062171,443.10050177393
"1",20,144,9,6.81041845510402,907.250371075164
"1",21,258,9,6.32313992474862,557.320191441254
"1",22,315,6,6.0417069522989,420.610384334334
"1",23,203,7,6.52327783316208,680.80630144787
"1",24,183,11,6.543531982124,694.736045045239
"1",25,125,10,6.96157386431746,1055.29313913753
"1",26,230,7,6.4205337781484,614.330943057099
"1",27,229,8,6.29502336895217,541.868509144412
"1",28,332,7,5.7512017725298,314.568472967326
"1",29,219,10,6.4056271870677,605.24127916661
"1",30,220,6,6.43635270926582,624.126273494066
"1",31,165,8,6.57806371958678,719.145512904094
"1",32,187,9,6.48942319177263,658.143631048253
"1",33,159,9,6.82328191620447,918.996134555165
"1",34,190,5,6.41532889590767,611.141729781278
"1",35,136,7,6.73021741899123,837.329297456055
"1",36,301,6,5.9761166568812,393.907715357179
"1",37,235,6,6.25428777210082,520.238714249198
"1",38,197,5,6.69140552685563,805.453543513914
"1",39,310,4,5.9382009165429,379.252009391005
"1",40,200,8,6.59002667920105,727.80028676999
"1",41,194,8,6.57683765380171,718.264333498581
"1",42,241,8,6.2932544225364,540.910820087382
"1",43,184,9,6.49302383806556,660.517644900831
"1",44,230,6,6.30443494080702,546.992417749167
"1",45,267,6,6.14355240582159,465.705009018488
"1",46,149,7,6.70813076123044,819.038229664291
"1",47,247,7,6.29978369883377,544.454131324977
"1",48,156,10,6.43298067442313,622.025242319599
"1",49,196,6,6.60386883081746,737.944656663368
"1",50,206,10,6.29740157430094,543.15871731307
"1",51,189,8,6.45427958314943,635.415797075293
"1",52,278,8,6.10125497624154,446.417662243274
"1",53,102,9,7.03336345013733,1133.83781087305
"1",54,183,9,6.80556309491359,902.856020451122
"1",55,211,8,6.39401553798171,598.254074810227
"1",56,227,9,6.54104704156102,693.011810463825
"1",57,173,9,6.77086045917388,872.061944951109
"1",58,221,9,6.53784945640365,690.799385278856
"1",59,335,3,5.85284344401266,348.223127055479
"1",60,149,6,6.62401066227332,752.958913279459
"1",61,220,7,6.4761746727763,649.48170817192
"1",62,225,9,6.17145053157589,478.880233440409
"1",63,172,8,6.56868765012268,712.434266343066
"1",64,156,10,6.61404105803629,745.489506290235
"1",65,211,6,6.58150813697856,721.626821093314
"1",66,105,8,6.7241060032734,832.227635095015
"1",67,217,9,6.58387222148713,723.334826020541
"1",68,145,9,6.63088235718264,758.150835433004
"1",69,161,9,6.7286513963464,836.019047023754
"1",70,144,8,7.04924003616517,1151.9829446618
"1",71,248,6,6.14206962663655,465.014983029258
"1",72,178,6,6.59220056062015,729.384159241933
"1",73,229,11,6.15051867184013,468.960560350108
"1",74,186,4,6.62501531821432,753.71575804565
"1",75,195,6,6.39764411967587,600.428831850149
"1",76,182,9,6.71408690535346,823.931096246911
"1",77,214,10,6.48877662641738,657.7182357154
"1",78,162,7,6.60547467679023,739.130634112091
"1",79,220,6,6.32520967669557,558.474900561071
"1",80,244,6,6.26978593669625,528.364262371592
"1",81,136,10,6.86842616115912,961.434231928692
"1",82,208,9,6.4950175746421,661.835856735842
"1",83,185,7,6.55966859823447,706.037673688445
"1",84,196,7,6.61324405486624,744.895585500298
"1",85,256,6,6.29792153853756,543.441213858564
"1",86,217,10,6.39108304167484,596.502266785947
"1",87,187,6,6.47481602117382,648.599887987178
"1",88,190,7,6.74515913585761,849.934370951019
"1",89,189,10,6.44491515316756,629.493264186587
"1",90,216,11,6.39632883856968,599.639618284625
"1",91,139,9,6.76756254867035,869.190699860151
"1",92,229,7,6.41224570175003,609.260362970477
"1",93,167,8,6.57682691646295,718.25662129252
"1",94,185,11,6.55300217963671,701.346584764175
"1",95,273,7,6.29858777645748,543.803395638705
"1",96,201,5,6.56084483010949,706.868626305878
"1",97,232,5,6.5496099474276,698.971485012097
"1",98,240,4,6.19948293731243,492.494324807588
"1",99,141,5,6.76693736164545,868.647462942462
"1",100,170,8,6.42091305757579,614.563990337633
"2",1,109,8,7.05119319732146,1154.23515174774
"2",2,190,5,6.56009535997804,706.339047860005
"2",3,216,9,6.64074130123319,765.662369154201
"2",4,118,6,6.66159825953256,781.799457566788
"2",5,204,9,6.35666063213683,576.318599630108
"2",6,201,7,6.43133739955962,621.003923258224
"2",7,153,10,6.75093897577653,854.861079635115
"2",8,207,8,6.6628025927142,782.741571790768
"2",9,114,10,6.93478910653073,1027.40255668558
"2",10,199,7,6.49392101355049,661.110511051925
"2",11,149,10,6.76144693145279,863.891283368953
"2",12,106,11,6.9943993156726,1090.50842963129
"2",13,270,6,6.10128856871976,446.43265877075
"2",14,226,8,6.51357751620182,674.234191842517
"2",15,256,9,6.24399371346896,514.910816317647
"2",16,187,9,6.65525605847152,776.856818390716
"2",17,227,8,6.30885198303077,549.413850202232
"2",18,222,2,6.49634972086876,662.718106387364
"2",19,338,5,6.16626334328776,476.402622973493
"2",20,144,9,6.90961841389631,1001.86487162843
"2",21,258,9,6.13494417175026,461.713316653011
