"participant","trial","condition","clarity"
1,1,"before",5
1,2,"before",4
1,3,"before",6
1,4,"before",5
1,5,"before",5
1,6,"before",4
1,7,"before",5
1,8,"before",4
1,9,"before",5
1,10,"before",6
1,11,"before",4
1,12,"before",5
1,13,"before",5
1,14,"before",6
1,15,"before",4
2,1,"before",6
2,2,"before",7
2,3,"before",5
2,4,"before",2
2,5,"before",4
2,6,"before",3
2,7,"before",6
2,8,"before",6
2,9,"before",7
2,10,"before",4
2,11,"before",7
2,12,"before",4
2,13,"before",4
2,14,"before",5
2,15,"before",3
3,1,"before",6
3,2,"before",7
3,3,"before",7
3,4,"before",6
3,5,"before",5
3,6,"before",6
3,7,"before",6
3,8,"before",6
3,9,"before",7
3,10,"before",5
3,11,"before",4
3,12,"before",6
3,13,"before",6
3,14,"before",6
3,15,"before",5
4,1,"before",5
4,2,"before",4
4,3,"before",5
4,4,"before",5
4,5,"before",5
4,6,"before",6
4,7,"before",4
4,8,"before",7
4,9,"before",6
4,10,"before",6
4,11,"before",7
4,12,"before",6
4,13,"before",6
4,14,"before",5
4,15,"before",7
5,1,"before",2
5,2,"before",6
5,3,"before",4
5,4,"before",5
5,5,"before",6
5,6,"before",5
5,7,"before",6
5,8,"before",7
5,9,"before",5
5,10,"before",6
5,11,"before",7
5,12,"before",6
5,13,"before",6
5,14,"before",7
5,15,"before",3
6,1,"before",4
6,2,"before",7
6,3,"before",3
6,4,"before",6
6,5,"before",4
6,6,"before",7
6,7,"before",6
6,8,"before",4
6,9,"before",6
6,10,"before",6
6,11,"before",6
6,12,"before",5
6,13,"before",6
6,14,"before",4
6,15,"before",3
7,1,"before",7
7,2,"before",4
7,3,"before",7
7,4,"before",4
7,5,"before",3
7,6,"before",4
7,7,"before",4
7,8,"before",6
7,9,"before",7
7,10,"before",5
7,11,"before",7
7,12,"before",5
7,13,"before",7
7,14,"before",5
7,15,"before",5
8,1,"before",5
8,2,"before",6
8,3,"before",6
8,4,"before",7
8,5,"before",6
8,6,"before",5
8,7,"before",4
8,8,"before",5
8,9,"before",7
8,10,"before",5
8,11,"before",6
8,12,"before",3
8,13,"before",6
8,14,"before",4
8,15,"before",7
9,1,"before",5
9,2,"before",6
9,3,"before",6
9,4,"before",7
9,5,"before",5
9,6,"before",6
9,7,"before",4
9,8,"before",7
9,9,"before",7
9,10,"before",7
9,11,"before",4
9,12,"before",5
9,13,"before",4
9,14,"before",7
9,15,"before",7
10,1,"before",7
10,2,"before",7
10,3,"before",4
10,4,"before",4
10,5,"before",3
10,6,"before",7
10,7,"before",5
10,8,"before",3
10,9,"before",6
10,10,"before",7
10,11,"before",6
10,12,"before",3
10,13,"before",4
10,14,"before",6
10,15,"before",5
1,1,"simultaneous",4
1,2,"simultaneous",5
1,3,"simultaneous",5
1,4,"simultaneous",6
1,5,"simultaneous",5
1,6,"simultaneous",6
1,7,"simultaneous",6
1,8,"simultaneous",5
1,9,"simultaneous",7
1,10,"simultaneous",5
1,11,"simultaneous",4
1,12,"simultaneous",6
1,13,"simultaneous",6
1,14,"simultaneous",4
1,15,"simultaneous",5
2,1,"simultaneous",5
2,2,"simultaneous",3
2,3,"simultaneous",4
2,4,"simultaneous",6
2,5,"simultaneous",5
2,6,"simultaneous",4
2,7,"simultaneous",4
2,8,"simultaneous",4
2,9,"simultaneous",2
2,10,"simultaneous",6
2,11,"simultaneous",5
2,12,"simultaneous",6
2,13,"simultaneous",6
2,14,"simultaneous",3
2,15,"simultaneous",7
3,1,"simultaneous",7
3,2,"simultaneous",5
3,3,"simultaneous",5
3,4,"simultaneous",3
3,5,"simultaneous",5
3,6,"simultaneous",5
3,7,"simultaneous",3
3,8,"simultaneous",7
3,9,"simultaneous",6
3,10,"simultaneous",6
3,11,"simultaneous",6
3,12,"simultaneous",7
3,13,"simultaneous",7
3,14,"simultaneous",4
3,15,"simultaneous",5
4,1,"simultaneous",4
4,2,"simultaneous",7
4,3,"simultaneous",6
4,4,"simultaneous",7
4,5,"simultaneous",5
4,6,"simultaneous",5
4,7,"simultaneous",6
4,8,"simultaneous",4
4,9,"simultaneous",3
4,10,"simultaneous",4
4,11,"simultaneous",7
4,12,"simultaneous",3
4,13,"simultaneous",5
4,14,"simultaneous",6
4,15,"simultaneous",5
5,1,"simultaneous",3
5,2,"simultaneous",4
5,3,"simultaneous",4
5,4,"simultaneous",7
5,5,"simultaneous",7
5,6,"simultaneous",7
5,7,"simultaneous",6
5,8,"simultaneous",3
5,9,"simultaneous",6
5,10,"simultaneous",6
5,11,"simultaneous",5
5,12,"simultaneous",3
5,13,"simultaneous",5
5,14,"simultaneous",4
5,15,"simultaneous",7
6,1,"simultaneous",5
6,2,"simultaneous",7
6,3,"simultaneous",4
6,4,"simultaneous",5
6,5,"simultaneous",6
6,6,"simultaneous",3
6,7,"simultaneous",6
6,8,"simultaneous",6
6,9,"simultaneous",3
6,10,"simultaneous",7
6,11,"simultaneous",5
6,12,"simultaneous",3
6,13,"simultaneous",6
6,14,"simultaneous",6
6,15,"simultaneous",4
7,1,"simultaneous",3
7,2,"simultaneous",7
7,3,"simultaneous",4
7,4,"simultaneous",7
7,5,"simultaneous",5
7,6,"simultaneous",7
7,7,"simultaneous",6
7,8,"simultaneous",5
7,9,"simultaneous",4
7,10,"simultaneous",4
7,11,"simultaneous",6
7,12,"simultaneous",6
7,13,"simultaneous",4
7,14,"simultaneous",5
7,15,"simultaneous",7
8,1,"simultaneous",4
8,2,"simultaneous",6
8,3,"simultaneous",5
8,4,"simultaneous",6
8,5,"simultaneous",4
8,6,"simultaneous",2
8,7,"simultaneous",5
8,8,"simultaneous",7
8,9,"simultaneous",4
8,10,"simultaneous",4
8,11,"simultaneous",6
8,12,"simultaneous",5
8,13,"simultaneous",7
8,14,"simultaneous",5
8,15,"simultaneous",5
9,1,"simultaneous",3
9,2,"simultaneous",5
9,3,"simultaneous",4
9,4,"simultaneous",6
9,5,"simultaneous",6
9,6,"simultaneous",6
9,7,"simultaneous",6
9,8,"simultaneous",7
9,9,"simultaneous",4
9,10,"simultaneous",5
9,11,"simultaneous",7
9,12,"simultaneous",3
9,13,"simultaneous",4
9,14,"simultaneous",7
9,15,"simultaneous",6
10,1,"simultaneous",4
10,2,"simultaneous",5
10,3,"simultaneous",7
10,4,"simultaneous",7
10,5,"simultaneous",6
10,6,"simultaneous",5
10,7,"simultaneous",5
10,8,"simultaneous",5
10,9,"simultaneous",7
10,10,"simultaneous",4
10,11,"simultaneous",2
10,12,"simultaneous",6
10,13,"simultaneous",6
10,14,"simultaneous",4
10,15,"simultaneous",4
1,1,"after",4
1,2,"after",6
1,3,"after",2
1,4,"after",5
1,5,"after",4
1,6,"after",5
1,7,"after",1
1,8,"after",3
1,9,"after",4
1,10,"after",6
1,11,"after",1
1,12,"after",1
1,13,"after",3
1,14,"after",2
1,15,"after",3
2,1,"after",5
2,2,"after",1
2,3,"after",7
2,4,"after",3
2,5,"after",3
2,6,"after",3
2,7,"after",4
2,8,"after",5
2,9,"after",4
2,10,"after",3
2,11,"after",4
2,12,"after",5
2,13,"after",7
2,14,"after",3
2,15,"after",5
3,1,"after",2
3,2,"after",4
3,3,"after",1
3,4,"after",2
3,5,"after",5
3,6,"after",5
3,7,"after",2
3,8,"after",5
3,9,"after",6
3,10,"after",2
3,11,"after",2
3,12,"after",5
3,13,"after",3
3,14,"after",6
3,15,"after",4
4,1,"after",3
4,2,"after",4
4,3,"after",5
4,4,"after",6
4,5,"after",4
4,6,"after",6
4,7,"after",3
4,8,"after",4
4,9,"after",5
4,10,"after",3
4,11,"after",6
4,12,"after",4
4,13,"after",4
4,14,"after",3
4,15,"after",5
5,1,"after",5
5,2,"after",5
5,3,"after",4
5,4,"after",1
5,5,"after",3
5,6,"after",2
5,7,"after",2
5,8,"after",6
5,9,"after",5
5,10,"after",6
5,11,"after",4
5,12,"after",4
5,13,"after",4
5,14,"after",5
5,15,"after",5
6,1,"after",5
6,2,"after",5
6,3,"after",7
6,4,"after",4
6,5,"after",5
6,6,"after",3
6,7,"after",3
6,8,"after",6
6,9,"after",6
6,10,"after",5
6,11,"after",1
6,12,"after",5
6,13,"after",5
6,14,"after",4
6,15,"after",3
7,1,"after",3
7,2,"after",4
7,3,"after",1
7,4,"after",1
7,5,"after",4
7,6,"after",5
7,7,"after",5
7,8,"after",4
7,9,"after",4
7,10,"after",4
7,11,"after",5
7,12,"after",4
7,13,"after",3
7,14,"after",1
7,15,"after",3
8,1,"after",7
8,2,"after",4
8,3,"after",4
8,4,"after",3
8,5,"after",4
8,6,"after",1
8,7,"after",5
8,8,"after",4
8,9,"after",2
8,10,"after",5
8,11,"after",4
8,12,"after",3
8,13,"after",4
8,14,"after",3
8,15,"after",6
9,1,"after",7
9,2,"after",4
9,3,"after",2
9,4,"after",5
9,5,"after",2
9,6,"after",2
9,7,"after",5
9,8,"after",2
9,9,"after",3
9,10,"after",3
9,11,"after",4
9,12,"after",5
9,13,"after",3
9,14,"after",4
9,15,"after",3
10,1,"after",3
10,2,"after",5
10,3,"after",4
10,4,"after",7
10,5,"after",2
10,6,"after",5
10,7,"after",5
10,8,"after",4
10,9,"after",4
10,10,"after",2
10,11,"after",4
10,12,"after",4
10,13,"after",2
10,14,"after",5
10,15,"after",2
